max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,mean_outer_R2,std_outer_R2,median_best_rounds,fold_1_R2,fold_2_R2,fold_3_R2,fold_4_R2,fold_5_R2,fold_1_best_rounds,fold_2_best_rounds,fold_3_best_rounds,fold_4_best_rounds,fold_5_best_rounds
7,0.02,900,1.0,0.8,1,1.0,0.1,0.7832295154235782,0.1456210608472296,160,0.5568010751006655,0.9316782203234538,0.9522357655992049,0.7404166696286302,0.7350158464659372,160,279,390,135,46
7,0.02,1200,1.0,0.8,1,1.0,0.1,0.7832295154235782,0.1456210608472296,160,0.5568010751006655,0.9316782203234538,0.9522357655992049,0.7404166696286302,0.7350158464659372,160,279,390,135,46
3,0.02,600,1.0,0.8,3,1.0,0.1,0.7814530494218153,0.13855400025586967,115,0.5430001733039203,0.9044252945012103,0.9185097720008173,0.8205989534181063,0.7207310538850222,110,215,223,115,46
3,0.02,900,1.0,0.8,3,1.0,0.1,0.7814530494218153,0.13855400025586967,115,0.5430001733039203,0.9044252945012103,0.9185097720008173,0.8205989534181063,0.7207310538850222,110,215,223,115,46
3,0.02,1200,1.0,0.8,3,1.0,0.1,0.7814530494218153,0.13855400025586967,115,0.5430001733039203,0.9044252945012103,0.9185097720008173,0.8205989534181063,0.7207310538850222,110,215,223,115,46
3,0.1,600,1.0,0.8,3,1.0,0.0,0.7813541980585615,0.12613198272348283,21,0.6194072630912042,0.9059550488629792,0.9168479017781097,0.8177765349838474,0.6467842415766674,19,41,39,21,7
3,0.1,900,1.0,0.8,3,1.0,0.0,0.7813541980585615,0.12613198272348283,21,0.6194072630912042,0.9059550488629792,0.9168479017781097,0.8177765349838474,0.6467842415766674,19,41,39,21,7
3,0.1,1200,1.0,0.8,3,1.0,0.0,0.7813541980585615,0.12613198272348283,21,0.6194072630912042,0.9059550488629792,0.9168479017781097,0.8177765349838474,0.6467842415766674,19,41,39,21,7
3,0.05,600,1.0,0.8,3,1.0,0.1,0.7810082541949814,0.12356828271037276,46,0.5693218247195779,0.9018177457868861,0.8982774826019345,0.8054895315263286,0.7301346863401799,46,83,115,42,19
3,0.05,900,1.0,0.8,3,1.0,0.1,0.7810082541949814,0.12356828271037276,46,0.5693218247195779,0.9018177457868861,0.8982774826019345,0.8054895315263286,0.7301346863401799,46,83,115,42,19
3,0.05,1200,1.0,0.8,3,1.0,0.1,0.7810082541949814,0.12356828271037276,46,0.5693218247195779,0.9018177457868861,0.8982774826019345,0.8054895315263286,0.7301346863401799,46,83,115,42,19
7,0.02,600,1.0,0.8,3,1.0,0.0,0.7785851965295054,0.12166970195211688,107,0.5677763933566682,0.9018566147865454,0.884155766057999,0.808770930602534,0.7303662778437805,107,216,379,102,46
7,0.02,900,1.0,0.8,3,1.0,0.0,0.7785851965295054,0.12166970195211688,107,0.5677763933566682,0.9018566147865454,0.884155766057999,0.808770930602534,0.7303662778437805,107,216,379,102,46
7,0.02,1200,1.0,0.8,3,1.0,0.0,0.7785851965295054,0.12166970195211688,107,0.5677763933566682,0.9018566147865454,0.884155766057999,0.808770930602534,0.7303662778437805,107,216,379,102,46
5,0.02,600,1.0,0.8,3,1.0,0.0,0.7784114754181399,0.12150911730642709,107,0.5679130388451856,0.9038090073663994,0.8811501998088057,0.8088188532265282,0.7303662778437805,107,221,347,102,46
5,0.02,900,1.0,0.8,3,1.0,0.0,0.7784114754181399,0.12150911730642709,107,0.5679130388451856,0.9038090073663994,0.8811501998088057,0.8088188532265282,0.7303662778437805,107,221,347,102,46
5,0.02,1200,1.0,0.8,3,1.0,0.0,0.7784114754181399,0.12150911730642709,107,0.5679130388451856,0.9038090073663994,0.8811501998088057,0.8088188532265282,0.7303662778437805,107,221,347,102,46
3,0.1,600,1.0,1.0,3,2.0,0.0,0.7780664595976792,0.13502891613836493,24,0.5478606078018025,0.880871069783802,0.938400706047383,0.7875918492061196,0.7356080651492884,23,41,46,24,11
3,0.1,900,1.0,1.0,3,2.0,0.0,0.7780664595976792,0.13502891613836493,24,0.5478606078018025,0.880871069783802,0.938400706047383,0.7875918492061196,0.7356080651492884,23,41,46,24,11
3,0.1,1200,1.0,1.0,3,2.0,0.0,0.7780664595976792,0.13502891613836493,24,0.5478606078018025,0.880871069783802,0.938400706047383,0.7875918492061196,0.7356080651492884,23,41,46,24,11
7,0.05,600,1.0,0.8,1,2.0,0.1,0.7770123190811864,0.16731986700765225,67,0.4687044749044027,0.8816446235304157,0.9452308920477996,0.7444816887352244,0.8449999161880895,67,83,299,60,33
7,0.05,900,1.0,0.8,1,2.0,0.1,0.7770123190811864,0.16731986700765225,67,0.4687044749044027,0.8816446235304157,0.9452308920477996,0.7444816887352244,0.8449999161880895,67,83,299,60,33
7,0.05,1200,1.0,0.8,1,2.0,0.1,0.7770123190811864,0.16731986700765225,67,0.4687044749044027,0.8816446235304157,0.9452308920477996,0.7444816887352244,0.8449999161880895,67,83,299,60,33
5,0.05,600,1.0,0.8,3,1.0,0.1,0.7763594141342735,0.12996208147401703,46,0.5470850453774334,0.8990732740547313,0.8919977111643099,0.8131234658199122,0.7305175742549805,46,83,115,42,19
5,0.05,900,1.0,0.8,3,1.0,0.1,0.7763594141342735,0.12996208147401703,46,0.5470850453774334,0.8990732740547313,0.8919977111643099,0.8131234658199122,0.7305175742549805,46,83,115,42,19
5,0.05,1200,1.0,0.8,3,1.0,0.1,0.7763594141342735,0.12996208147401703,46,0.5470850453774334,0.8990732740547313,0.8919977111643099,0.8131234658199122,0.7305175742549805,46,83,115,42,19
