max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,mean_outer_R2,std_outer_R2,median_best_rounds,fold_1_R2,fold_2_R2,fold_3_R2,fold_4_R2,fold_5_R2,fold_1_best_rounds,fold_2_best_rounds,fold_3_best_rounds,fold_4_best_rounds,fold_5_best_rounds
7,0.1,600,1.0,0.8,3,2.0,0.0,0.7022777830349939,0.09614568988541865,21,0.7316171122391874,0.5705285689074976,0.7667436612386754,0.6137193407507698,0.8287802320388389,17,15,34,21,23
7,0.1,900,1.0,0.8,3,2.0,0.0,0.7022777830349939,0.09614568988541865,21,0.7316171122391874,0.5705285689074976,0.7667436612386754,0.6137193407507698,0.8287802320388389,17,15,34,21,23
7,0.1,1200,1.0,0.8,3,2.0,0.0,0.7022777830349939,0.09614568988541865,21,0.7316171122391874,0.5705285689074976,0.7667436612386754,0.6137193407507698,0.8287802320388389,17,15,34,21,23
7,0.02,600,1.0,0.8,3,1.0,0.1,0.6995620268210326,0.07994351420986723,88,0.7403787798626288,0.6097050009026552,0.7211387437742751,0.6099210406742164,0.8166665688913878,73,71,168,88,92
7,0.02,900,1.0,0.8,3,1.0,0.1,0.6995620268210326,0.07994351420986723,88,0.7403787798626288,0.6097050009026552,0.7211387437742751,0.6099210406742164,0.8166665688913878,73,71,168,88,92
7,0.02,1200,1.0,0.8,3,1.0,0.1,0.6995620268210326,0.07994351420986723,88,0.7403787798626288,0.6097050009026552,0.7211387437742751,0.6099210406742164,0.8166665688913878,73,71,168,88,92
5,0.1,600,1.0,0.8,3,2.0,0.0,0.6990552043283496,0.0944192143484156,21,0.7316171122391874,0.5705285689074976,0.7514811629452688,0.6128911069534632,0.8287580705963312,17,15,34,21,23
5,0.1,900,1.0,0.8,3,2.0,0.0,0.6990552043283496,0.0944192143484156,21,0.7316171122391874,0.5705285689074976,0.7514811629452688,0.6128911069534632,0.8287580705963312,17,15,34,21,23
5,0.1,1200,1.0,0.8,3,2.0,0.0,0.6990552043283496,0.0944192143484156,21,0.7316171122391874,0.5705285689074976,0.7514811629452688,0.6128911069534632,0.8287580705963312,17,15,34,21,23
7,0.1,600,1.0,0.8,3,2.0,0.1,0.6970486203331948,0.0960854199445009,21,0.7120827157597186,0.5678543665316746,0.766942495887442,0.611061563233869,0.8273019602532702,18,15,35,21,23
7,0.1,900,1.0,0.8,3,2.0,0.1,0.6970486203331948,0.0960854199445009,21,0.7120827157597186,0.5678543665316746,0.766942495887442,0.611061563233869,0.8273019602532702,18,15,35,21,23
7,0.1,1200,1.0,0.8,3,2.0,0.1,0.6970486203331948,0.0960854199445009,21,0.7120827157597186,0.5678543665316746,0.766942495887442,0.611061563233869,0.8273019602532702,18,15,35,21,23
5,0.1,600,1.0,0.8,3,2.0,0.1,0.6953047748783191,0.09497633156268256,21,0.7120827157597186,0.5678543665316746,0.7585571747802176,0.6107276570667146,0.8273019602532702,18,15,34,21,23
5,0.1,900,1.0,0.8,3,2.0,0.1,0.6953047748783191,0.09497633156268256,21,0.7120827157597186,0.5678543665316746,0.7585571747802176,0.6107276570667146,0.8273019602532702,18,15,34,21,23
5,0.1,1200,1.0,0.8,3,2.0,0.1,0.6953047748783191,0.09497633156268256,21,0.7120827157597186,0.5678543665316746,0.7585571747802176,0.6107276570667146,0.8273019602532702,18,15,34,21,23
7,0.02,600,1.0,0.8,3,2.0,0.0,0.6952122352864222,0.09327094258260286,107,0.7385409943554522,0.5665870065940859,0.7309370441257405,0.6137658293055267,0.8262303020513057,94,71,194,107,117
7,0.02,900,1.0,0.8,3,2.0,0.0,0.6952122352864222,0.09327094258260286,107,0.7385409943554522,0.5665870065940859,0.7309370441257405,0.6137658293055267,0.8262303020513057,94,71,194,107,117
7,0.02,1200,1.0,0.8,3,2.0,0.0,0.6952122352864222,0.09327094258260286,107,0.7385409943554522,0.5665870065940859,0.7309370441257405,0.6137658293055267,0.8262303020513057,94,71,194,107,117
7,0.02,600,1.0,0.8,3,2.0,0.1,0.6928695232304692,0.09400628247330312,107,0.7306885982213922,0.562834289292262,0.7356133532057383,0.6108450429174535,0.8243663325155006,94,71,194,107,117
7,0.02,900,1.0,0.8,3,2.0,0.1,0.6928695232304692,0.09400628247330312,107,0.7306885982213922,0.562834289292262,0.7356133532057383,0.6108450429174535,0.8243663325155006,94,71,194,107,117
7,0.02,1200,1.0,0.8,3,2.0,0.1,0.6928695232304692,0.09400628247330312,107,0.7306885982213922,0.562834289292262,0.7356133532057383,0.6108450429174535,0.8243663325155006,94,71,194,107,117
7,0.1,600,1.0,0.8,3,1.0,0.0,0.691847045748626,0.10273527753537905,17,0.7247834790950058,0.560390220213266,0.7120994300733374,0.6066148946553962,0.8553472047061244,15,12,34,17,23
7,0.1,900,1.0,0.8,3,1.0,0.0,0.691847045748626,0.10273527753537905,17,0.7247834790950058,0.560390220213266,0.7120994300733374,0.6066148946553962,0.8553472047061244,15,12,34,17,23
7,0.1,1200,1.0,0.8,3,1.0,0.0,0.691847045748626,0.10273527753537905,17,0.7247834790950058,0.560390220213266,0.7120994300733374,0.6066148946553962,0.8553472047061244,15,12,34,17,23
5,0.02,600,1.0,0.8,3,2.0,0.0,0.6913976360440272,0.09321706975942798,107,0.7385409943554522,0.5628557205136898,0.7153562942960456,0.6141036668901507,0.8261315041647974,94,71,194,107,117
5,0.02,900,1.0,0.8,3,2.0,0.0,0.6913976360440272,0.09321706975942798,107,0.7385409943554522,0.5628557205136898,0.7153562942960456,0.6141036668901507,0.8261315041647974,94,71,194,107,117
5,0.02,1200,1.0,0.8,3,2.0,0.0,0.6913976360440272,0.09321706975942798,107,0.7385409943554522,0.5628557205136898,0.7153562942960456,0.6141036668901507,0.8261315041647974,94,71,194,107,117
7,0.1,600,1.0,0.8,3,1.0,0.1,0.6912521610207965,0.10414745791296759,17,0.7262543297353927,0.5573547976806539,0.7171473817178411,0.6017665363606042,0.8537377596094902,15,12,34,17,23
7,0.1,900,1.0,0.8,3,1.0,0.1,0.6912521610207965,0.10414745791296759,17,0.7262543297353927,0.5573547976806539,0.7171473817178411,0.6017665363606042,0.8537377596094902,15,12,34,17,23
7,0.1,1200,1.0,0.8,3,1.0,0.1,0.6912521610207965,0.10414745791296759,17,0.7262543297353927,0.5573547976806539,0.7171473817178411,0.6017665363606042,0.8537377596094902,15,12,34,17,23
7,0.02,600,1.0,0.8,3,1.0,0.0,0.6912343476284123,0.06899675817959942,79,0.7382332235192881,0.6135396503537339,0.7038798855774577,0.6129823821503687,0.7875365965412132,76,71,176,88,79
7,0.02,900,1.0,0.8,3,1.0,0.0,0.6912343476284123,0.06899675817959942,79,0.7382332235192881,0.6135396503537339,0.7038798855774577,0.6129823821503687,0.7875365965412132,76,71,176,88,79
7,0.02,1200,1.0,0.8,3,1.0,0.0,0.6912343476284123,0.06899675817959942,79,0.7382332235192881,0.6135396503537339,0.7038798855774577,0.6129823821503687,0.7875365965412132,76,71,176,88,79
7,0.05,600,1.0,0.8,3,2.0,0.0,0.6897140305902963,0.07469525364932593,41,0.7339472186976506,0.5933835484252642,0.7161273204641927,0.6141442915304068,0.7909677738339674,41,31,84,44,39
7,0.05,900,1.0,0.8,3,2.0,0.0,0.6897140305902963,0.07469525364932593,41,0.7339472186976506,0.5933835484252642,0.7161273204641927,0.6141442915304068,0.7909677738339674,41,31,84,44,39
7,0.05,1200,1.0,0.8,3,2.0,0.0,0.6897140305902963,0.07469525364932593,41,0.7339472186976506,0.5933835484252642,0.7161273204641927,0.6141442915304068,0.7909677738339674,41,31,84,44,39
5,0.02,600,1.0,0.8,3,2.0,0.1,0.6891728486785464,0.09328579823691882,107,0.7306885982213922,0.5605553824780509,0.7192116000025863,0.6111332914139618,0.8242753712767416,94,71,194,107,117
5,0.02,900,1.0,0.8,3,2.0,0.1,0.6891728486785464,0.09328579823691882,107,0.7306885982213922,0.5605553824780509,0.7192116000025863,0.6111332914139618,0.8242753712767416,94,71,194,107,117
5,0.02,1200,1.0,0.8,3,2.0,0.1,0.6891728486785464,0.09328579823691882,107,0.7306885982213922,0.5605553824780509,0.7192116000025863,0.6111332914139618,0.8242753712767416,94,71,194,107,117
5,0.1,600,1.0,0.8,3,1.0,0.1,0.6888589847631126,0.10369266468210307,17,0.7262543297353927,0.5573547976806539,0.7060144403072182,0.6012130016718317,0.8534583544204667,15,12,34,17,23
5,0.1,900,1.0,0.8,3,1.0,0.1,0.6888589847631126,0.10369266468210307,17,0.7262543297353927,0.5573547976806539,0.7060144403072182,0.6012130016718317,0.8534583544204667,15,12,34,17,23
5,0.1,1200,1.0,0.8,3,1.0,0.1,0.6888589847631126,0.10369266468210307,17,0.7262543297353927,0.5573547976806539,0.7060144403072182,0.6012130016718317,0.8534583544204667,15,12,34,17,23
5,0.1,600,1.0,0.8,3,1.0,0.0,0.687675178697239,0.10246058080119617,17,0.7247834790950058,0.560390220213266,0.6937455485645051,0.6045512817276729,0.8549053638857455,15,12,34,17,23
5,0.1,900,1.0,0.8,3,1.0,0.0,0.687675178697239,0.10246058080119617,17,0.7247834790950058,0.560390220213266,0.6937455485645051,0.6045512817276729,0.8549053638857455,15,12,34,17,23
5,0.1,1200,1.0,0.8,3,1.0,0.0,0.687675178697239,0.10246058080119617,17,0.7247834790950058,0.560390220213266,0.6937455485645051,0.6045512817276729,0.8549053638857455,15,12,34,17,23
7,0.05,600,1.0,0.8,3,2.0,0.1,0.6872872132861907,0.07456976468776483,41,0.722741999965953,0.590417616366648,0.7209534598209153,0.6127191953820486,0.7896037948953886,41,31,83,44,39
7,0.05,900,1.0,0.8,3,2.0,0.1,0.6872872132861907,0.07456976468776483,41,0.722741999965953,0.590417616366648,0.7209534598209153,0.6127191953820486,0.7896037948953886,41,31,83,44,39
7,0.05,1200,1.0,0.8,3,2.0,0.1,0.6872872132861907,0.07456976468776483,41,0.722741999965953,0.590417616366648,0.7209534598209153,0.6127191953820486,0.7896037948953886,41,31,83,44,39
5,0.05,600,1.0,0.8,3,2.0,0.0,0.6872279547119392,0.0741451685216722,41,0.7339472186976506,0.5920340182095131,0.7040582120390164,0.6151325507795486,0.7909677738339674,41,31,84,44,39
5,0.05,900,1.0,0.8,3,2.0,0.0,0.6872279547119392,0.0741451685216722,41,0.7339472186976506,0.5920340182095131,0.7040582120390164,0.6151325507795486,0.7909677738339674,41,31,84,44,39
5,0.05,1200,1.0,0.8,3,2.0,0.0,0.6872279547119392,0.0741451685216722,41,0.7339472186976506,0.5920340182095131,0.7040582120390164,0.6151325507795486,0.7909677738339674,41,31,84,44,39
7,0.1,600,0.8,0.8,1,2.0,0.0,0.6840543533614722,0.10032370547659264,20,0.7028160852909472,0.6009125095791437,0.8364386344056091,0.5507037247838791,0.7294008127477819,20,15,32,21,18
7,0.1,900,0.8,0.8,1,2.0,0.0,0.6840543533614722,0.10032370547659264,20,0.7028160852909472,0.6009125095791437,0.8364386344056091,0.5507037247838791,0.7294008127477819,20,15,32,21,18
7,0.1,1200,0.8,0.8,1,2.0,0.0,0.6840543533614722,0.10032370547659264,20,0.7028160852909472,0.6009125095791437,0.8364386344056091,0.5507037247838791,0.7294008127477819,20,15,32,21,18
5,0.05,600,1.0,0.8,3,2.0,0.1,0.6840365433744837,0.07373245802625017,41,0.722741999965953,0.5897094221288799,0.7059408938553545,0.6121866060268426,0.7896037948953886,41,31,84,44,39
5,0.05,900,1.0,0.8,3,2.0,0.1,0.6840365433744837,0.07373245802625017,41,0.722741999965953,0.5897094221288799,0.7059408938553545,0.6121866060268426,0.7896037948953886,41,31,84,44,39
5,0.05,1200,1.0,0.8,3,2.0,0.1,0.6840365433744837,0.07373245802625017,41,0.722741999965953,0.5897094221288799,0.7059408938553545,0.6121866060268426,0.7896037948953886,41,31,84,44,39
5,0.02,600,1.0,0.8,3,1.0,0.0,0.6827093792769338,0.07016501303135711,79,0.7382332235192881,0.6093826688912111,0.6654705477140687,0.6129238597188879,0.7875365965412132,76,71,194,88,79
5,0.02,900,1.0,0.8,3,1.0,0.0,0.6827093792769338,0.07016501303135711,79,0.7382332235192881,0.6093826688912111,0.6654705477140687,0.6129238597188879,0.7875365965412132,76,71,194,88,79
5,0.02,1200,1.0,0.8,3,1.0,0.0,0.6827093792769338,0.07016501303135711,79,0.7382332235192881,0.6093826688912111,0.6654705477140687,0.6129238597188879,0.7875365965412132,76,71,194,88,79
7,0.1,600,0.8,0.8,1,2.0,0.1,0.682385686201368,0.10476480988526933,20,0.7035520860503792,0.5740842652205451,0.8447018157668389,0.5625501101513661,0.7270401538177105,20,14,33,22,18
7,0.1,900,0.8,0.8,1,2.0,0.1,0.682385686201368,0.10476480988526933,20,0.7035520860503792,0.5740842652205451,0.8447018157668389,0.5625501101513661,0.7270401538177105,20,14,33,22,18
7,0.1,1200,0.8,0.8,1,2.0,0.1,0.682385686201368,0.10476480988526933,20,0.7035520860503792,0.5740842652205451,0.8447018157668389,0.5625501101513661,0.7270401538177105,20,14,33,22,18
5,0.02,600,1.0,0.8,3,1.0,0.1,0.6804212610732986,0.08398364181468577,88,0.7403787798626288,0.6060548183629386,0.6289059314010546,0.6101502638148001,0.8166165119250708,73,71,242,88,92
5,0.02,900,1.0,0.8,3,1.0,0.1,0.6804212610732986,0.08398364181468577,88,0.7403787798626288,0.6060548183629386,0.6289059314010546,0.6101502638148001,0.8166165119250708,73,71,242,88,92
5,0.02,1200,1.0,0.8,3,1.0,0.1,0.6804212610732986,0.08398364181468577,88,0.7403787798626288,0.6060548183629386,0.6289059314010546,0.6101502638148001,0.8166165119250708,73,71,242,88,92
7,0.02,600,0.8,0.8,1,1.0,0.0,0.679534006870357,0.0650081092671076,80,0.6576742952941813,0.7228751483454817,0.7125624765242858,0.5622862089460022,0.7422719052418343,68,145,164,80,68
7,0.02,900,0.8,0.8,1,1.0,0.0,0.679534006870357,0.0650081092671076,80,0.6576742952941813,0.7228751483454817,0.7125624765242858,0.5622862089460022,0.7422719052418343,68,145,164,80,68
7,0.02,1200,0.8,0.8,1,1.0,0.0,0.679534006870357,0.0650081092671076,80,0.6576742952941813,0.7228751483454817,0.7125624765242858,0.5622862089460022,0.7422719052418343,68,145,164,80,68
5,0.02,600,0.8,0.8,1,1.0,0.0,0.6770813402627063,0.06520011346212067,80,0.6638932855668311,0.7193573858549874,0.7029292574642416,0.5571012428571609,0.7421255295703103,68,145,163,80,68
5,0.02,900,0.8,0.8,1,1.0,0.0,0.6770813402627063,0.06520011346212067,80,0.6638932855668311,0.7193573858549874,0.7029292574642416,0.5571012428571609,0.7421255295703103,68,145,163,80,68
5,0.02,1200,0.8,0.8,1,1.0,0.0,0.6770813402627063,0.06520011346212067,80,0.6638932855668311,0.7193573858549874,0.7029292574642416,0.5571012428571609,0.7421255295703103,68,145,163,80,68
7,0.05,600,0.8,0.8,1,1.0,0.0,0.6769946060973028,0.10466061590991153,30,0.7245292100177037,0.7044619371617324,0.8285342344041089,0.5241610207663088,0.6032866281366602,28,51,46,30,19
7,0.05,900,0.8,0.8,1,1.0,0.0,0.6769946060973028,0.10466061590991153,30,0.7245292100177037,0.7044619371617324,0.8285342344041089,0.5241610207663088,0.6032866281366602,28,51,46,30,19
7,0.05,1200,0.8,0.8,1,1.0,0.0,0.6769946060973028,0.10466061590991153,30,0.7245292100177037,0.7044619371617324,0.8285342344041089,0.5241610207663088,0.6032866281366602,28,51,46,30,19
7,0.02,600,0.8,0.8,1,1.0,0.1,0.673753304620098,0.06357485443191369,80,0.6562416208411885,0.7231682850861887,0.6920601406394146,0.5595846591261077,0.7377118174075905,68,145,179,80,68
7,0.02,900,0.8,0.8,1,1.0,0.1,0.673753304620098,0.06357485443191369,80,0.6562416208411885,0.7231682850861887,0.6920601406394146,0.5595846591261077,0.7377118174075905,68,145,179,80,68
7,0.02,1200,0.8,0.8,1,1.0,0.1,0.673753304620098,0.06357485443191369,80,0.6562416208411885,0.7231682850861887,0.6920601406394146,0.5595846591261077,0.7377118174075905,68,145,179,80,68
7,0.1,600,0.8,0.8,1,1.0,0.1,0.6728172146833986,0.08525549298982946,17,0.7452327431169228,0.6569405914128448,0.7856371607683884,0.5446816674119552,0.6315939107068813,17,15,32,17,11
7,0.1,900,0.8,0.8,1,1.0,0.1,0.6728172146833986,0.08525549298982946,17,0.7452327431169228,0.6569405914128448,0.7856371607683884,0.5446816674119552,0.6315939107068813,17,15,32,17,11
7,0.1,1200,0.8,0.8,1,1.0,0.1,0.6728172146833986,0.08525549298982946,17,0.7452327431169228,0.6569405914128448,0.7856371607683884,0.5446816674119552,0.6315939107068813,17,15,32,17,11
7,0.02,600,1.0,0.8,1,2.0,0.0,0.671581077537444,0.06987085894699809,94,0.6312427385634098,0.6715102629624092,0.7626533560840385,0.5649938629056067,0.7275051671717558,80,94,164,95,76
7,0.02,900,1.0,0.8,1,2.0,0.0,0.671581077537444,0.06987085894699809,94,0.6312427385634098,0.6715102629624092,0.7626533560840385,0.5649938629056067,0.7275051671717558,80,94,164,95,76
7,0.02,1200,1.0,0.8,1,2.0,0.0,0.671581077537444,0.06987085894699809,94,0.6312427385634098,0.6715102629624092,0.7626533560840385,0.5649938629056067,0.7275051671717558,80,94,164,95,76
5,0.02,600,0.8,0.8,1,1.0,0.1,0.6711015530661337,0.06398128354661756,80,0.6645421668358512,0.718344207731799,0.6809960929450992,0.554117038361267,0.7375082594566515,72,145,179,80,68
5,0.02,900,0.8,0.8,1,1.0,0.1,0.6711015530661337,0.06398128354661756,80,0.6645421668358512,0.718344207731799,0.6809960929450992,0.554117038361267,0.7375082594566515,72,145,179,80,68
5,0.02,1200,0.8,0.8,1,1.0,0.1,0.6711015530661337,0.06398128354661756,80,0.6645421668358512,0.718344207731799,0.6809960929450992,0.554117038361267,0.7375082594566515,72,145,179,80,68
3,0.05,600,1.0,0.8,3,2.0,0.1,0.6707662028050827,0.1254177723621902,44,0.5502104823883791,0.5873129289129915,0.7088138134371501,0.6089526503479366,0.8985411389389564,36,29,84,44,92
3,0.05,900,1.0,0.8,3,2.0,0.1,0.6707662028050827,0.1254177723621902,44,0.5502104823883791,0.5873129289129915,0.7088138134371501,0.6089526503479366,0.8985411389389564,36,29,84,44,92
3,0.05,1200,1.0,0.8,3,2.0,0.1,0.6707662028050827,0.1254177723621902,44,0.5502104823883791,0.5873129289129915,0.7088138134371501,0.6089526503479366,0.8985411389389564,36,29,84,44,92
