rank,model,feature_count,features,best_mean_outer_R2,best_std_outer_R2,selected_boosting_rounds
1,four_parameter,4,"power, speed, hd, lt",0.7902053339968023,0.1129860553409011,25
2,three_parameter,3,"power, speed, lt",0.7022777830349939,0.09614568988541865,21
