candidate_index,rank,power,speed,lt,hd,VED,T,t,UTS,UTS_error,EC,EC_error,EHVI_value,is_mean_nondominated_wrt_union,EHVI_rank
5738,1,350,800,0.03,0.09,162.04,798,60,493.0011883875087,24.969000105368927,83.13783084048663,7.39635891010474,576.5864804787126,0,1
5739,2,350,800,0.03,0.09,162.04,803,60,485.509657503174,25.885899340530173,83.50350368593341,7.413089272346486,575.077913802495,0,2
5737,3,350,800,0.03,0.09,162.04,793,60,500.12583547337545,24.181208595847764,82.73498991783111,7.377133915258757,572.0437016498247,0,3
5740,4,350,800,0.03,0.09,162.04,808,60,477.69983581605425,26.920365380619867,83.83305168157446,7.427661865529526,568.119098767996,0,4
5736,5,350,800,0.03,0.09,162.04,788,60,506.83770838748194,23.53087583765962,82.29406842187863,7.355276813820226,561.0526309139757,0,5
